ano,uf,centil,quantidade_de_contribuintes,rendimentos_tributaveis_limite_superior_da_rtb_do_centil_r_milhoes,rtb_soma_centil,rendimentos_tributaveis_rtb_acumulada_do_centil_r_milhoes,rendimentos_tributaveis_media_da_rtb_do_centil_r,rendimentos_sujeitos_a_tribut_exclusiva_r_milhoes,rendimentos_isentos_lucros_e_dividendos_r_milhoes,rendimentos_isentos_rendim_socio_titular_me_epp_opt_simples_r_milhoes,rendimentos_isentos_outros_rendimentos_isentos_r_milhoes,despesas_dedutiveis_previdencia_r_milhoes,despesas_dedutiveis_dependentes_r_milhoes,despesas_dedutiveis_instrucao_r_milhoes,despesas_dedutiveis_medicas_r_milhoes,despesas_dedutiveis_pensao_alimenticia_r_milhoes,despesas_dedutiveis_livro_caixa_r_milhoes,imposto_devido_r_milhoes,bens_imoveis,bens_e_direitos_moveis_r_milhoes,bens_e_direitos_financeiros_r_milhoes,bens_e_direitos_outros_bens_e_direitos_r_milhoes,dividas_onus,cluster
2020,AM,19.0,3.51,"19.267,20",6553.0,448.5,"18.670,26",3.87,18.62,6.34,17.16,1.23,1.33,0.29,0.71,0.09,0.04,,9005.0,14.7,95.64,3.46,945.0,0
2020,PA,44.0,6.375,"36.715,25",23177.0,"5.846,73","36.356,48",20.38,9.04,6.99,37.84,9.18,8.32,5.15,11.22,1.02,0.19,2.13,19224.0,47.49,154.83,15.49,2684.0,0
2020,SC,44.0,14.819,"35.955,00",52889.0,"14.032,80","35.689,92",62.11,74.81,30.61,112.49,13.42,11.19,3.52,13.74,2.3,0.24,5.45,1095.07,324.53,988.24,40.03,18874.0,1
2020,PB,21.0,3.314,"20.502,00",6638.0,620.87,"20.029,25",3.76,9.85,5.25,25.6,0.96,0.79,0.27,1.46,0.05,0.04,,10603.0,26.35,82.42,3.07,1163.0,0
2020,MS,22.0,4.453,"22.243,72",979.0,963.47,"21.984,49",5.4,12.4,12.57,37.11,0.99,0.99,0.16,0.93,0.06,0.09,,29776.0,74,177.16,8.05,3181.0,0
2020,PE,44.0,8.285,"36.078,01",29686.0,"6.797,87","35.830,65",42.77,91.91,27.51,67.5,10.71,7.66,4.63,17.61,1.1,0.24,2.73,38671.0,93.35,623.56,22.66,7803.0,2
2020,SC,32.0,14.818,"30.370,48",44684.0,"8.149,76","30.155,35",52.61,137.4,72.35,105.69,9.57,8.6,2.76,10.55,1.67,0.12,1.15,1180.76,334.98,974.53,108.78,22598.0,1
2020,MS,18.0,4.453,"19.200,00",8285.0,590.01,"18.605,36",11.54,17.58,14.94,53.6,1.33,1.2,0.2,1.24,0.08,0.04,0.0,35934.0,84.29,280.5,11.2,4313.0,2
2020,PE,13.0,8.286,"12.487,00",9883.0,307.64,"11.927,83",12.81,65.88,25.2,73.62,1.69,1.86,0.5,3.17,0.14,0.01,0.0,28502.0,73.55,424.66,23.05,6429.0,0
2020,MS,29.0,4.453,"27.408,97",1205.0,"1.736,53","27.060,24",10.2,31.57,14.64,59.21,1.12,1.26,0.25,1.47,0.11,0.03,0.0,41271.0,85.24,301.67,18.48,6757.0,2
2020,RS,47.0,22.385,"37.355,01",82907.0,"22.017,41","37.036,85",130.04,86.89,54.98,206.36,20.77,15.04,6.31,28.43,4.59,0.79,9.71,1876.93,429.67,"1.479,99",78.68,34487.0,1
2020,SC,6.0,14.818,"4.202,91",4219.0,43.04,"2.847,43",77.82,173.07,68.84,321.57,1.0,2.14,0.26,0.94,0.16,0.01,0.0,1613.3,348.35,"1.950,86","2.347,15",31257.0,3
2020,AM,35.0,3.51,"30.230,97",10534.0,"1.869,63","30.010,02",7.18,23.33,7.66,11.74,2.31,2.74,1.06,1.92,0.59,0.19,0.25,10416.0,20.24,"1.103,26",3.09,1403.0,0
2020,TO,7.0,1.688,"2.220,24",7.0,0.7,412.58,4.41,96.22,4.39,61.47,0.02,0.04,0.0,0.03,0.0,,,4098.0,38.26,201.92,16.84,6912.0,0
2020,RO,48.0,2.172,"38.020,52",8177.0,"2.188,29","37.648,74",8.76,10.89,3.02,17.68,2.54,2.24,0.6,3.2,0.36,0.11,0.98,17347.0,33.81,107.05,6.4,3533.0,0
2020,MA,35.0,4.22,"30.000,00",12589.0,"2.337,22","29.830,92",7.17,16.92,8.02,19.14,2.76,3.18,1.34,3.92,0.27,0.07,0.25,9716.0,29.46,107.58,7.22,1846.0,0
