ano,uf,centil,quantidade_de_contribuintes,rendimentos_tributaveis_limite_superior_da_rtb_do_centil_r_milhoes,rtb_soma_centil,rendimentos_tributaveis_rtb_acumulada_do_centil_r_milhoes,rendimentos_tributaveis_media_da_rtb_do_centil_r,rendimentos_sujeitos_a_tribut_exclusiva_r_milhoes,rendimentos_isentos_lucros_e_dividendos_r_milhoes,rendimentos_isentos_rendim_socio_titular_me_epp_opt_simples_r_milhoes,rendimentos_isentos_outros_rendimentos_isentos_r_milhoes,despesas_dedutiveis_previdencia_r_milhoes,despesas_dedutiveis_dependentes_r_milhoes,despesas_dedutiveis_instrucao_r_milhoes,despesas_dedutiveis_medicas_r_milhoes,despesas_dedutiveis_pensao_alimenticia_r_milhoes,despesas_dedutiveis_livro_caixa_r_milhoes,imposto_devido_r_milhoes,bens_imoveis,bens_e_direitos_moveis_r_milhoes,bens_e_direitos_financeiros_r_milhoes,bens_e_direitos_outros_bens_e_direitos_r_milhoes,dividas_onus
2006,BRASIL,100.7,24.156,"288.266,93",6638.87,"37.818,95","274.833,12","1.078,69",901.69,9.25,958.35,480.65,51.53,49.53,231.32,101.38,120.07,"1.390,14",8690.75,"1.436,11","12.606,01",377.83,1120.27
2006,BRASIL,100.8,24.156,"328.867,00",7403.04,"45.221,99","306.467,84","1.137,83",731.72,13.28,"1.269,62",497.16,49.89,47.1,244.25,119.69,153.33,"1.578,55",9790.09,"1.498,83","14.504,66",523.91,1075.53
2006,BRASIL,100.9,24.156,"428.293,08",8914.21,"54.136,20","369.026,86","1.943,08","1.925,50",19.49,"1.451,09",476.56,48.7,45.56,249.57,121.84,231.12,"1.974,92",12734.77,"1.710,01","27.035,21",759.28,2516.21
2006,BRASIL,100.1,24.156,"78.059.315,68",21435.69,"75.571,90","887.385,89","7.083,86","5.321,76",21.47,"6.120,84",578.43,48.48,44.07,274.28,153.24,"2.171,09","4.839,19",25770.06,"3.230,74","109.637,62","2.362,41",7837.5
2006,AC,1.0,251.0,0,0.0,0,0,0,0.33,0,1,0,0.0,0.0,0,0,0,0,1229.0,0.3,1.48,0.09,0.0
2006,AC,2.0,250.0,0,0.0,0,0,0.01,0.03,0,0.99,0,0.0,0.0,0,0,0,0,143.0,0.4,1.25,0.25,183.0
2006,AC,3.0,250.0,0,0.0,0,0,0.01,0.02,0.03,0.99,0,0.0,0.0,0,0,0,0,183.0,0.28,0.82,0.04,0.0
2006,AC,4.0,250.0,0,0.0,0,0,0,0.37,0,1.15,0,0.0,0.0,0,0,0,0,107.0,0.4,1.77,0,21.0
2006,AC,5.0,251.0,0,0.0,0,0,0.05,0.1,0,0.8,0,0.0,0.0,0,0,0,0,122.0,0.25,0.78,0.05,34.0
2006,AC,6.0,250.0,0,0.0,0,0,0.01,9.1,0.01,0.91,0,0.0,0.0,0,0,0,0,193.0,0.29,9.54,8.84,8.0
2006,AC,7.0,250.0,0,0.0,0,0,0.04,0.35,0,0.68,0,0.0,0.0,0,0,0,0,94.0,0.22,3.13,0.21,5.0
2006,AC,8.0,250.0,0,0.0,0,0,0,0.1,0,0.19,0,0.0,0.0,0,0,0,0,89.0,0.05,1.14,0,0.0
2006,AC,9.0,251.0,0,0.0,0,0,0,0,0,0.31,0,0.0,0.0,0,0,0,0,134.0,0.18,0.74,0.02,0.0
