cluster,rtb_soma_centil,bens_imoveis,dividas_onus
0,5443.865754716981,7387.71429245283,1779.860283018868
1,66633.18518518518,2269.9196296296295,27840.973703703705
2,17814.237288135595,52953.91525423729,7037.542372881356
3,6440.708571428571,4567.442857142857,51109.71428571428
